Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,57000,77000
Mar,67000,55000,81000
May,64000,50000,79000
Jul,63000,47000,75000
Sep,62000,43000,73000
Nov,67000,41000,68000
Jan-17,68000,41000,68000
Mar,65000,45000,79000
May,62000,45000,77000
Jul,58000,46000,79000
Sep,56000,43000,74000
Nov,53000,40000,70000
Jan-18,65000,47000,65000
Mar,65000,47000,85000
May,66000,49000,82000
Jul,66000,50000,81000
Sep,65000,52000,78000
Nov,63000,51000,79000
Jan-19,70000,60000,94000
Mar,70000,57000,88000
May,72000,55000,90000
Jul,70000,54000,90000
Sep,68000,50000,83000
Nov,67000,48000,80000
Jan-20,66000,46000,88000
Mar,63000,42000,89000
May,51000,38000,63000
