Time,4YO,5YO,3-5YO Avg.
Jan-16,70000,57000,92000
Mar,67000,50000,77000
May,63000,47000,82000
Jul,61000,43000,79000
Sep,59000,51000,72000
Nov,56000,41000,68000
Jan-17,68000,53000,79000
Mar,67000,45000,78000
May,62000,45000,82000
Jul,60000,43000,71000
Sep,58000,41000,70000
Nov,52000,39000,65000
Jan-18,68000,57000,72000
Mar,65000,47000,84000
May,65000,47000,75000
Jul,63000,49000,84000
Sep,66000,50000,77000
Nov,62000,52000,79000
Jan-19,62000,59000,77000
Mar,69000,57000,83000
