Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,58000,73000
Feb,68000,54000,72000
Mar,67000,51000,67000
Apr,65000,48000,66000
May,63000,45000,64000
Jun,61000,43000,61000
Jul,60000,42000,60000
Aug,59000,41000,59000
Sep,58000,42000,59000
Oct,56000,43000,57000
Nov,55000,41000,56000
Dec,54000,40000,55000
Jan-17,67000,53000,66000
Feb,66000,46000,64000
Mar,64000,45000,62000
Apr,62000,44000,61000
May,61000,45000,60000
Jun,60000,46000,60000
Jul,59000,47000,59000
Aug,56000,46000,58000
Sep,54000,44000,57000
Oct,53000,42000,55000
Nov,53000,40000,55000
Dec,55000,40000,56000
Jan-18,68000,51000,71000
Feb,65000,47000,65000
Mar,65000,47000,64000
Apr,66000,48000,64000
May,66000,49000,65000
Jun,66000,50000,64000
Jul,65000,50000,63000
Aug,64000,51000,63000
Sep,63000,51000,62000
Oct,62000,52000,62000
Nov,62000,52000,61000
Dec,62000,53000,62000
Jan-19,78000,61000,77000
Feb,73000,59000,73000
