Month,3YO,4YO,5YO
Jan-19,82000,78000,61000
Mar-19,93000,70000,58000
May-19,85000,69000,57000
Jul-19,83000,67000,55000
Sep-19,80000,62000,52000
Nov-19,78000,60000,47000
Jan-20,89000,64000,45000
Mar-20,86000,56000,44000
May-20,80000,52000,43000
Jul-20,75000,50000,38000
Sep-20,73000,52000,38000
Nov-20,72000,52000,39000
Jan-21,72000,50000,50000
Mar-21,89000,70000,60000
May-21,97000,75000,64000
Jul-21,100000,80000,70000
Sep-21,102000,87000,74000
Nov-21,106000,93000,77000
Jan-22,151000,126000,114000
Mar-22,165000,139000,115000
May-22,156000,143000,117000
Jul-22,152000,134000,112000
Sep-22,139000,124000,105000
Nov-22,129000,115000,100000
Jan-23,132000,95000,73000
Mar-23,113000,87000,70000
May-23,113000,84000,68000
Jul-23,108000,79000,61000
Sep-23,97000,73000,57000
Nov-23,88000,69000,55000
Jan-24,122000,78000,40000
Mar-24,115000,75000,53000
May-24,94000,71000,51000
