Month,3YO,4YO,5YO,3-5YO Avg.
Jan-19,94000,78000,62000,78000
Mar,83000,71000,58000,73000
May,93000,75000,57000,72000
Jul,84000,70000,52000,68000
Sep,83000,68000,47000,64000
Nov,79000,62000,45000,61000
Jan-20,89000,67000,42000,64000
Mar,85000,64000,43000,66000
May,74000,55000,38000,58000
Jul,70000,52000,37000,56000
Sep,71000,53000,39000,56000
Nov,73000,54000,40000,54000
Jan-21,92000,72000,52000,72000
Mar,96000,78000,55000,75000
May,102000,81000,61000,80000
Jul,100000,80000,66000,82000
Sep,104000,87000,72000,88000
Nov,120000,96000,77000,95000
Jan-22,143000,127000,114000,127000
Mar,164000,140000,110000,137000
May,148000,124000,112000,121000
