Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,57000,73000
Feb,68000,56000,70000
Mar,67000,48000,66000
Apr,64000,45000,65000
May,63000,44000,64000
Jun,61000,51000,61000
Jul,60000,47000,60000
Aug,59000,48000,60000
Sep,57000,46000,58000
Oct,56000,45000,56000
Nov,54000,40000,54000
Dec,n/a,n/a,n/a
Jan-17,67000,45000,68000
Feb,67000,45000,62000
Mar,65000,46000,62000
Apr,63000,42000,60000
May,61000,42000,59000
Jun,59000,45000,58000
Jul,55000,42000,58000
Aug,53000,42000,57000
Sep,53000,39000,56000
Oct,50000,41000,53000
Nov,55000,41000,63000
Dec,n/a,n/a,n/a
Jan-18,69000,56000,64000
Feb,67000,46000,64000
Mar,65000,47000,63000
Apr,66000,46000,64000
May,65000,49000,63000
Jun,66000,48000,65000
Jul,64000,49000,64000
Aug,63000,50000,64000
Sep,63000,51000,64000
Oct,62000,51000,64000
Nov (est.),61000,52000,64000
