Month,4YO,5YO,3-5YO Avg.
Jan-18,65000,55000,70000
Mar,63000,47000,66000
May,64000,49000,64000
Jul,63000,51000,64000
Sep,63000,52000,63000
Nov,62000,52000,63000
Jan-19,75000,62000,75000
Mar,72000,60000,72000
May,70000,56000,68000
Jul,67000,52000,65000
Sep,63000,48000,61000
Nov,59000,44000,58000
Jan-20,65000,42000,62000
Mar,64000,41000,60000
May,56000,38000,55000
Jul,52000,38000,54000
Sep,51000,39000,52000
Nov,52000,40000,54000
Jan-21,72000,50000,70000
Mar,74000,55000,71000
May,77000,60000,74000
Jul,79000,65000,77000
Sep,85000,70000,80000
