Month,3YO,4YO,5YO
Jan-19,94000,78000,62000
Mar-19,82000,70000,59000
May-19,88000,70000,57000
Jul-19,92000,68000,55000
Sep-19,82000,60000,48000
Nov-19,79000,57000,44000
Jan-20,86000,64000,45000
Mar-20,84000,58000,41000
May-20,77000,52000,38000
Jul-20,73000,51000,40000
Sep-20,71000,51000,38000
Nov-20,71000,50000,40000
Jan-21,89000,63000,50000
Mar-21,93000,75000,56000
May-21,90000,77000,62000
Jul-21,90000,81000,67000
Sep-21,92000,85000,72000
Nov-21,102000,91000,77000
Jan-22,120000,110000,98000
Mar-22,150000,130000,110000
May-22,167000,140000,117000
Jul-22,158000,142000,116000
Sep-22,144000,136000,112000
Nov-22,134000,125000,107000
Jan-23,130000,118000,101000
Mar-23,128000,110000,92000
May-23,118000,98000,78000
Jul-23,97000,84000,68000
Sep-23,84000,73000,61000
Nov-23,79000,67000,56000
Jan-24,120000,80000,40000
Mar-24,106000,73000,53000
May-24,98000,72000,52000
Jul-24,95000,74000,51000
Sep-24,94000,73000,49000
Nov-24,84000,58000,44000
