Month,4YO,5YO,3-5YO Avg.
Jan-16,70500,57000,73000
Mar,65000,45000,79000
May,62000,48000,78000
Jul,60000,43000,74000
Sep,58000,50000,70000
Nov,55000,53000,67000
Jan-17,67000,54000,67000
Mar,62000,45000,78000
May,60000,43000,81000
Jul,58000,46000,77000
Sep,55000,45000,73000
Nov,52000,57000,68000
Jan-18,67000,47000,67000
Mar,65000,47000,89000
May,65000,47000,82000
Jul,63000,51000,79000
Sep,64000,51000,79000
Nov,62000,52000,77000
Jan-19,72000,58000,78000
Mar,70000,60000,94000
May,69000,57000,89000
Jul,68000,54000,85000
Sep,59000,45000,80000
