Month,4YO,5YO,3-5YO Avg.
Jan-18,67000,56000,67000
Mar,65000,47000,65000
May,64000,47000,64000
Jul,65000,51000,64000
Sep,64000,51000,63000
Nov,64000,53000,63000
Jan-19,78000,63000,78000
Mar,72000,58000,72000
May,71000,55000,67000
Jul,68000,52000,64000
Sep,66000,48000,61000
Nov,65000,45000,59000
Jan-20,65000,52000,65000
Mar,63000,44000,63000
May,58000,41000,60000
Jul,53000,38000,56000
Sep,52000,38000,55000
Nov,52000,41000,54000
Jan-21,72000,52000,72000
Mar,72000,50000,72000
May,74000,54000,74000
Jul,77000,62000,78000
Sep,82000,70000,84000
Nov,90000,77000,93000
