Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,55000,72000
Mar,65000,48000,68000
May,62000,45000,65000
Jul,60000,52000,63000
Sep,58000,48000,60000
Nov,56000,41000,59000
Jan-17,69000,45000,62000
Mar,67000,47000,64000
May,63000,45000,62000
Jul,57000,45000,60000
Sep,54000,40000,59000
Nov,52000,39000,58000
Jan-18,66000,54000,65000
Mar,65000,47000,64000
May,65000,47000,64000
Jul,66000,49000,64000
Sep,64000,50000,63000
Nov,62000,52000,62000
Jan-19,72000,57000,66000
Mar,70000,57000,68000
May,69000,57000,70000
Jul,68000,55000,69000
Sep,68000,52000,67000
Nov,66000,47000,64000
Jan-20,64000,43000,60000
Mar,63000,42000,61000
May,60000,39000,57000
Jul,52000,37000,52000
