Month,3YO,4YO,5YO
Jan-19,94000,78000,62000
Mar,88000,72000,60000
May,94000,70000,58000
Jul,88000,68000,55000
Sep,82000,64000,50000
Nov,88000,64000,47000
Jan-20,86000,64000,43000
Mar,76000,54000,41000
May,78000,52000,38000
Jul,74000,50000,40000
Sep,72000,52000,39000
Nov,72000,50000,40000
Jan-21,72000,50000,40000
Mar,94000,66000,52000
May,100000,78000,58000
Jul,100000,84000,62000
Sep,106000,90000,70000
Nov,114000,96000,76000
Jan-22,132000,124000,108000
Mar,152000,136000,116000
May,166000,140000,118000
Jul,154000,140000,116000
Sep,138000,126000,110000
Nov,128000,116000,106000
Jan-23,116000,102000,96000
Mar,114000,98000,94000
May,120000,90000,84000
Jul,114000,86000,78000
Sep,116000,80000,74000
Nov,108000,76000,72000
Jan-24,110000,72000,68000
Mar,120000,80000,56000
May,104000,74000,54000
Jul,94000,70000,54000
