Month,3YO,4YO,5YO,3-5YO Avg.
Jan-19,94000,77000,58000,78000
Mar,85000,72000,58000,75000
May,92000,70000,52000,75000
Jul,90000,68000,50000,73000
Sep,83000,64000,46000,69000
Nov,77000,60000,42000,65000
Jan-20,90000,65000,50000,67000
Mar,84000,62000,42000,65000
May,80000,58000,40000,61000
Jul,74000,56000,38000,57000
Sep,74000,54000,36000,55000
Nov,70000,52000,36000,52000
Jan-21,92000,72000,52000,75000
Mar,98000,78000,55000,78000
May,100000,81000,60000,82000
Jul,103000,84000,62000,85000
Sep,102000,87000,67000,88000
Nov,120000,98000,77000,97000
Jan-22,143000,126000,110000,127000
Mar,167000,140000,115000,140000
May,155000,137000,115000,137000
Jul,144000,115000,98000,118000
