Month,4YO,5YO,3-5YO Avg.
Jan-16,67000,55000,73000
Mar,65000,48000,79000
May,60000,45000,81000
Jul,59000,49000,75000
Sep,56000,42000,74000
Nov,54000,54000,68000
Jan-17,66000,44000,67000
Mar,62000,44000,80000
May,60000,41000,82000
Jul,58000,46000,76000
Sep,54000,42000,73000
Nov,52000,40000,67000
Jan-18,64000,47000,69000
Mar,65000,47000,82000
May,66000,50000,77000
Jul,66000,51000,81000
Sep,64000,51000,78000
Nov,62000,53000,68000
Jan-19,70000,58000,77000
Mar,73000,58000,94000
May,70000,61000,88000
Jul,70000,58000,81000
Sep,72000,59000,84000
Nov,62000,57000,78000
Jan-20,64000,48000,68000
Mar,59000,45000,63000
May,57000,45000,65000
Jul,55000,47000,60000
Sep,53000,42000,57000
Nov,55000,38000,68000
Jan-21,55000,39000,62000
Mar,54000,40000,90000
May,52000,38000,85000
Jul,54000,40000,72000
Sep,53000,40000,75000
