Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,57000,72000
Mar,67000,52000,68000
May,64000,48000,66000
Jul,60000,45000,63000
Sep,57000,42000,61000
Nov,56000,41000,59000
Jan-17,67000,49000,68000
Mar,63000,45000,64000
May,61000,45000,61000
Jul,60000,47000,60000
Sep,57000,45000,58000
Nov,52000,41000,56000
Jan-18,66000,48000,67000
Mar,65000,47000,65000
May,65000,50000,64000
Jul,63000,51000,63000
Sep,64000,52000,63000
Nov,62000,51000,62000
Jan-19,73000,58000,74000
Mar,70000,58000,71000
May,70000,56000,70000
Jul,69000,56000,69000
Sep,67000,54000,67000
Nov,62000,52000,63000
Jan-20,64000,47000,66000
Mar,60000,42000,62000
May,54000,38000,58000
Jul,52000,38000,54000
Sep,51000,39000,52000
