Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,57000,73000
Mar,68000,52000,78000
May,62000,45000,75000
Jul,60000,43000,73000
Sep,59000,48000,67000
Nov,57000,41000,68000
Jan-17,67000,42000,79000
Mar,65000,45000,72000
May,60000,48000,71000
Jul,60000,43000,62000
Sep,56000,42000,55000
Nov,54000,41000,53000
Jan-18,66000,57000,67000
Mar,65000,50000,79000
May,67000,47000,77000
Jul,66000,46000,76000
Sep,63000,47000,79000
Nov,62000,51000,79000
Jan-19,70000,53000,94000
Mar,73000,61000,88000
May,72000,60000,90000
Jul,71000,59000,87000
Sep,70000,59000,83000
Nov,69000,55000,81000
Jan-20,63000,43000,70000
Mar,61000,42000,65000
May,59000,41000,62000
Jul,58000,41000,61000
Sep,55000,41000,59000
Nov,54000,42000,59000
