Month,4YO,5YO,3-5YO Avg.
Jan-18,66000,56000,71000
Feb,63000,53000,64000
Mar,64000,49000,64000
Apr,66000,48000,65000
May,64000,49000,64000
Jun,63000,48000,64000
Jul,63000,51000,63000
Aug,63000,50000,64000
Sep,62000,52000,64000
Oct,62000,52000,63000
Nov,61000,52000,63000
Dec,62000,53000,63000
Jan-19,78000,62000,72000
Feb,71000,58000,69000
Mar,70000,58000,69000
Apr,69000,57000,68000
May,70000,56000,68000
Jun,68000,54000,67000
Jul,68000,53000,66000
Aug,67000,50000,64000
Sep,64000,48000,62000
Oct,61000,46000,60000
Nov,59000,45000,59000
Dec,58000,42000,58000
Jan-20,65000,45000,67000
Feb,63000,44000,65000
Mar,58000,42000,62000
Apr,54000,38000,57000
May,52000,38000,55000
Jun,52000,38000,54000
Jul,51000,38000,53000
Aug,52000,39000,53000
Sep,52000,40000,53000
Oct,54000,40000,54000
Nov,55000,41000,54000
Dec,55000,41000,54000
