Month,4YO,5YO,3-5YO Avg.
Jan-18,66000,56000,70000
Mar,64000,47000,85000
May,63000,48000,80000
Jul,64000,51000,79000
Sep,63000,52000,80000
Nov,62000,51000,78000
Jan-19,72000,53000,94000
Mar,70000,58000,86000
May,69000,58000,90000
Jul,68000,57000,83000
Sep,66000,52000,80000
Nov,61000,47000,77000
Jan-20,65000,43000,90000
Mar,64000,42000,84000
May,61000,38000,83000
Jul,55000,38000,76000
Sep,53000,39000,73000
Nov,52000,39000,72000
Jan-21,55000,40000,73000
Mar,70000,53000,91000
May,71000,54000,93000
Jul,78000,60000,101000
