Month,3YO,4YO,5YO,3-5YO Avg.
Jan-19,95000,77000,61000,78000
Mar,83000,70000,58000,72000
May,93000,71000,58000,73000
Jul,87000,71000,55000,71000
Sep,82000,65000,48000,66000
Nov,81000,62000,45000,63000
Jan-20,89000,65000,45000,65000
Mar,89000,62000,42000,64000
May,84000,57000,38000,60000
Jul,75000,52000,39000,55000
Sep,72000,52000,39000,54000
Nov,72000,51000,40000,53000
Jan-21,94000,72000,52000,73000
Mar,91000,72000,50000,72000
May,102000,75000,58000,77000
Jul,99000,78000,61000,80000
Sep,97000,85000,70000,86000
Nov,120000,92000,77000,94000
Jan-22,140000,125000,110000,125000
Mar,165000,140000,115000,n/a
