Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,57000,73000
Mar,67000,52000,71000
May,64000,45000,61000
Jul,62000,49000,60000
Sep,60000,43000,59000
Nov,57000,41000,54000
Jan-17,67000,44000,78000
Mar,65000,45000,78000
May,61000,44000,82000
Jul,58000,47000,77000
Sep,55000,47000,74000
Nov,53000,45000,70000
Jan-18,67000,47000,95000
Mar,66000,47000,84000
May,66000,50000,85000
Jul,65000,51000,82000
Sep,63000,49000,79000
Nov,62000,53000,80000
Jan-19,74000,60000,95000
Mar,70000,58000,87000
May,69000,57000,94000
Jul,69000,56000,89000
Sep,67000,46000,80000
