Month,3YO,4YO,5YO
Jan-19,94000,78000,62000
Mar,82000,71000,58000
May,92000,68000,55000
Jul,82000,63000,50000
Sep,79000,61000,48000
Nov,79000,58000,46000
Jan-20,88000,63000,48000
Mar,84000,59000,44000
May,84000,54000,41000
Jul,74000,53000,38000
Sep,70000,51000,38000
Nov,71000,52000,39000
Jan-21,89000,64000,48000
Mar,92000,72000,50000
May,90000,75000,54000
Jul,93000,80000,60000
Sep,98000,86000,68000
Nov,107000,91000,73000
Jan-22,122000,118000,93000
Mar,147000,137000,114000
May,167000,142000,116000
Jul,153000,135000,111000
Sep,140000,127000,106000
Nov,121000,115000,97000
Jan-23,133000,106000,83000
Mar,118000,100000,85000
May,114000,92000,76000
Jul,112000,85000,70000
Sep,98000,76000,62000
Nov,84000,68000,44000
