Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,57000,73000
Feb,68000,56000,70000
Mar,67000,54000,67000
Apr,65000,51000,65000
May,64000,47000,64000
Jun,62000,43000,63000
Jul,60000,44000,62000
Aug,60000,48000,61000
Sep,58000,50000,60000
Oct,56000,48000,57000
Nov,55000,46000,56000
Dec,67000,53000,61000
Jan-17,67000,54000,78000
Feb,65000,45000,79000
Mar,63000,46000,77000
Apr,61000,45000,75000
May,59000,46000,72000
Jun,58000,45000,72000
Jul,56000,43000,71000
Aug,55000,42000,70000
Sep,53000,41000,69000
Oct,52000,40000,68000
Nov,51000,41000,65000
Dec,66000,56000,70000
Jan-18,68000,56000,90000
Feb,66000,47000,84000
Mar,64000,47000,78000
Apr,64000,48000,75000
May,65000,49000,76000
Jun,65000,50000,77000
Jul,64000,50000,78000
Aug,63000,48000,82000
Sep,62000,51000,82000
Oct,62000,52000,79000
Nov,62000,51000,81000
Dec (est.),61000,48000,80000
