Month,4YO,5YO,3-5YO Avg.
Jan-18,65000,55000,70000
Mar,65000,48000,78000
May,66000,47000,75000
Jul,64000,50000,78000
Sep,66000,50000,78000
Nov,64000,53000,74000
Jan-19,72000,62000,64000
Mar,77000,60000,95000
May,72000,58000,93000
Jul,71000,56000,87000
Sep,68000,58000,83000
Nov,65000,57000,80000
Jan-20,71000,44000,68000
Mar,67000,44000,88000
May,64000,41000,87000
Jul,58000,38000,78000
Sep,55000,40000,73000
Nov,54000,38000,72000
Jan-21,60000,50000,72000
Mar,70000,50000,93000
May,78000,53000,100000
Jul,83000,62000,102000
Sep,88000,70000,110000
Nov,98000,78000,120000
