Month,3YO,4YO,5YO
Jan-19,95000,78000,62000
Mar,83000,69000,58000
May,94000,71000,57000
Jul,87000,69000,52000
Sep,84000,62000,47000
Nov,79000,58000,45000
Jan-20,72000,57000,43000
Mar,89000,64000,45000
May,84000,55000,41000
Jul,72000,52000,39000
Sep,71000,52000,38000
Nov,72000,51000,40000
Jan-21,72000,50000,48000
Mar,94000,72000,52000
May,99000,76000,58000
Jul,103000,82000,62000
Sep,101000,86000,72000
Nov,107000,90000,76000
Jan-22,119000,97000,80000
Mar,142000,130000,115000
May,167000,138000,114000
Jul,158000,141000,107000
Sep,146000,132000,99000
Nov,136000,115000,80000
Jan-23,130000,103000,74000
Mar,113000,99000,83000
