Month,4YO,5YO,3-5YO Avg.
Jan-15,78000,70000,80000
Mar,72000,62000,79000
May,70000,64000,81000
Jul,71000,61000,79000
Sep,72000,59000,77000
Nov,68000,58000,76000
Jan-16,62000,53000,72000
Mar,66000,48000,78000
May,66000,45000,79000
Jul,64000,42000,72000
Sep,62000,43000,68000
Nov,59000,41000,66000
Jan-17,57000,40000,67000
Mar,62000,45000,78000
May,61000,45000,79000
Jul,58000,46000,74000
Sep,56000,43000,61000
Nov,52000,42000,59000
Jan-18,51000,40000,63000
Mar,66000,47000,64000
May,65000,46000,63000
Jul (est.),65000,48000,65000
