Month,3YO,4YO,5YO,3-5YO Avg.
Jan-19,94000,78000,61000,78000
Feb,88000,70000,58000,72000
Mar,93000,71000,58000,71000
Apr,92000,73000,55000,72000
May,85000,70000,52000,70000
Jun,85000,68000,50000,68000
Jul,82000,66000,48000,65000
Aug,80000,64000,45000,63000
Sep,79000,62000,44000,61000
Oct,74000,60000,42000,59000
Nov,74000,59000,42000,58000
Dec,76000,58000,43000,59000
Jan-20,89000,67000,53000,67000
Feb,84000,64000,48000,65000
Mar,86000,59000,43000,63000
Apr,85000,58000,43000,62000
May,79000,55000,40000,57000
Jun,76000,52000,38000,54000
Jul,74000,53000,37000,53000
Aug,73000,52000,38000,53000
Sep,72000,52000,39000,52000
Oct,72000,53000,39000,53000
Nov,73000,54000,40000,54000
Dec,73000,54000,41000,54000
Jan-21,92000,68000,50000,65000
Feb,90000,71000,51000,69000
Mar,92000,72000,55000,72000
Apr,94000,74000,57000,74000
May,97000,76000,60000,76000
Jun,100000,78000,62000,78000
Jul,102000,81000,65000,81000
Aug,102000,83000,70000,84000
Sep,102000,86000,73000,87000
Oct,103000,89000,76000,90000
Nov,110000,95000,82000,97000
Dec,120000,100000,91000,100000
Jan-22,145000,130000,110000,130000
Feb,155000,135000,112000,132000
