Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,57000,73000
Feb,68000,56000,70000
Mar,66000,47000,67000
Apr,65000,45000,65000
May,63000,51000,64000
Jun,60000,43000,62000
Jul,60000,43000,61000
Aug,59000,47000,60000
Sep,57000,48000,59000
Oct,56000,44000,57000
Nov,55000,41000,55000
Dec,54000,40000,55000
Jan-17,67000,51000,66000
Feb,68000,45000,65000
Mar,67000,45000,63000
Apr,63000,42000,62000
May,62000,46000,61000
Jun,61000,43000,60000
Jul,58000,44000,59000
Aug,56000,45000,57000
Sep,54000,46000,55000
Oct,53000,42000,54000
Nov,52000,41000,53000
Dec,55000,42000,53000
Jan-18,69000,47000,63000
Feb,66000,46000,63000
Mar,66000,47000,64000
Apr,66000,49000,64000
May,67000,47000,64000
Jun,65000,49000,63000
Jul,65000,50000,64000
Aug,65000,51000,64000
Sep,64000,51000,64000
Oct (est.),64000,n/a,n/a
