Month,3YO,4YO,5YO,3-5YO Avg.
Jan-19,94000,78000,62000,72000
Mar,84000,70000,58000,71000
May,88000,72000,58000,71000
Jul,82000,68000,53000,67000
Sep,78000,62000,48000,63000
Nov,74000,58000,45000,59000
Jan-20,89000,66000,52000,66000
Mar,84000,62000,43000,64000
May,77000,58000,40000,58000
Jul,75000,54000,39000,54000
Sep,71000,52000,38000,53000
Nov,72000,52000,40000,52000
Jan-21,93000,72000,51000,72000
Mar,98000,73000,57000,75000
May,101000,76000,61000,78000
Jul,102000,82000,67000,83000
Sep,109000,90000,72000,88000
Nov,120000,98000,78000,93000
Jan-22,160000,125000,109000,125000
Mar,170000,140000,114000,137000
May,153000,143000,117000,130000
Jul,140000,124000,100000,118000
Sep,135000,113000,92000,112000
