Month,3YO,4YO,5YO
Jan-19,95000,80000,62000
Mar,85000,70000,60000
May,90000,67000,57000
Jul,80000,60000,50000
Sep,80000,57000,47000
Nov,87000,64000,45000
Jan-20,88000,64000,43000
Mar,80000,50000,38000
May,75000,52000,40000
Jul,70000,50000,38000
Sep,72000,55000,40000
Nov,73000,60000,41000
Jan-21,72000,62000,42000
Mar,88000,72000,50000
May,92000,78000,57000
Jul,100000,83000,65000
Sep,105000,90000,70000
Nov,118000,105000,78000
Jan-22,125000,120000,95000
Mar,150000,135000,115000
May,165000,140000,118000
Jul,160000,145000,115000
Sep,135000,130000,108000
Nov,125000,118000,100000
Jan-23,120000,105000,80000
Mar,115000,98000,72000
May,110000,88000,68000
Jul,100000,85000,65000
Sep,95000,78000,60000
Nov,90000,70000,57000
Jan-24,90000,68000,56000
Mar,120000,78000,40000
May,95000,72000,52000
Jul,93000,70000,50000
