Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,57000,67000
Mar,66000,52000,64000
May,63000,44000,61000
Jul,61000,47000,59000
Sep,58000,49000,58000
Nov,55000,41000,54000
Jan-17,67000,43000,65000
Mar,63000,45000,62000
May,59000,43000,60000
Jul,57000,44000,59000
Sep,54000,41000,57000
Nov,53000,40000,55000
Jan-18,65000,47000,63000
Mar,66000,48000,64000
May,63000,51000,64000
Jul,65000,51000,65000
Sep,64000,52000,64000
Nov,62000,47000,63000
Jan-19,73000,60000,73000
Mar,70000,59000,70000
May,68000,57000,68000
Jul,68000,59000,68000
Sep,67000,55000,67000
Nov,60000,47000,60000
Jan-20,63000,42000,60000
Mar,61000,44000,64000
May,58000,38000,62000
Jul,52000,38000,54000
