Month,4YO,5YO,3-5YO Avg.
Jan-18,67000,56000,77000
Mar,64000,47000,84000
May,66000,49000,77000
Jul,63000,49000,82000
Sep,64000,52000,80000
Nov,62000,51000,79000
Jan-19,72000,50000,72000
Mar,70000,59000,95000
May,72000,58000,92000
Jul,70000,57000,84000
Sep,67000,54000,84000
Nov,63000,46000,77000
Jan-20,65000,44000,74000
Mar,67000,42000,89000
May,62000,40000,83000
Jul,55000,38000,74000
Sep,54000,39000,74000
Nov,53000,40000,72000
Jan-21,70000,51000,71000
Mar,71000,53000,92000
May,78000,61000,101000
