Month,3YO,4YO,5YO
Jan-19,94000,77000,61000
Mar,83000,70000,59000
May,80000,67000,57000
Jul,80000,64000,53000
Sep,76000,59000,48000
Nov,73000,58000,44000
Jan-20,89000,64000,42000
Mar,85000,61000,43000
May,83000,53000,39000
Jul,72000,51000,38000
Sep,71000,52000,40000
Nov,73000,52000,40000
Jan-21,91000,70000,54000
Mar,95000,72000,58000
May,100000,78000,63000
Jul,101000,83000,70000
Sep,102000,88000,75000
Nov,110000,94000,78000
Jan-22,121000,97000,80000
Mar,143000,132000,111000
May,160000,139000,114000
Jul,167000,143000,116000
Sep,155000,140000,112000
Nov,142000,125000,105000
Jan-23,130000,105000,82000
Mar,114000,102000,75000
May,112000,86000,68000
Jul,95000,78000,61000
