Month,3YO,4YO,5YO
Jan-19,94000,78000,62000
Mar-19,86000,70000,58000
May-19,94000,70000,58000
Jul-19,86000,68000,54000
Sep-19,82000,64000,50000
Nov-19,80000,60000,46000
Jan-20,90000,64000,44000
Mar-20,86000,58000,40000
May-20,84000,54000,38000
Jul-20,76000,50000,38000
Sep-20,72000,52000,40000
Nov-20,72000,50000,40000
Jan-21,92000,54000,42000
Mar-21,92000,72000,52000
May-21,98000,74000,56000
Jul-21,102000,82000,64000
Sep-21,104000,86000,68000
Nov-21,104000,90000,70000
Jan-22,120000,98000,76000
Mar-22,144000,124000,108000
May-22,166000,142000,116000
Jul-22,154000,136000,114000
Sep-22,144000,118000,108000
Nov-22,138000,114000,106000
Jan-23,132000,104000,82000
Mar-23,118000,96000,70000
May-23,116000,88000,66000
Jul-23,114000,86000,64000
Sep-23,102000,76000,56000
