Month,3YO,4YO,5YO
Jan-19,95000,78000,62000
Mar,83000,70000,58000
May,94000,69000,59000
Jul,90000,72000,56000
Sep,82000,65000,53000
Nov,73000,58000,47000
Jan-20,90000,64000,44000
Mar,85000,63000,42000
May,70000,52000,38000
Jul,72000,52000,40000
Sep,73000,52000,39000
Nov,71000,51000,41000
Jan-21,91000,62000,50000
Mar,97000,65000,54000
May,102000,72000,60000
Jul,103000,78000,62000
Sep,110000,87000,70000
Nov,120000,97000,77000
Jan-22,120000,99000,78000
Mar,152000,133000,115000
May,166000,141000,115000
Jul,157000,137000,113000
Sep,140000,122000,106000
Nov,134000,113000,101000
Jan-23,124000,103000,83000
