Date,4YO,5YO,3-5YO Avg.
Jan-16,70000,57000,67000
Mar,67000,45000,64000
May,64000,49000,62000
Jul,61000,45000,60000
Sep,58000,41000,58000
Nov,55000,40000,55000
Jan-17,68000,45000,65000
Mar,67000,46000,63000
May,65000,42000,62000
Jul,62000,42000,60000
Sep,54000,40000,58000
Nov,51000,39000,52000
Jan-18,67000,47000,64000
Mar,66000,48000,64000
May,66000,49000,64000
Jul,66000,50000,63000
Sep,64000,51000,62000
Nov,62000,52000,61000
Jan-19,71000,59000,69000
Mar,70000,58000,67000
May,69000,58000,67000
Jul,67000,57000,66000
Sep,64000,53000,63000
Nov,59000,47000,60000
Jan-20,64000,42000,64000
Mar,62000,43000,64000
