Month,4YO,5YO,3-5YO Avg.
Jan-18,67000,56000,71000
Mar,64000,47000,83000
May,64000,49000,80000
Jul,64000,51000,82000
Sep,62000,52000,78000
Nov,61000,49000,77000
Jan-19,77000,62000,95000
Mar,74000,59000,90000
May,72000,59000,83000
Jul,70000,56000,82000
Sep,68000,50000,79000
Nov,65000,46000,74000
Jan-20,68000,45000,83000
Mar,65000,42000,78000
May,63000,38000,67000
Jul,55000,39000,74000
Sep,55000,39000,73000
Nov,54000,40000,73000
Jan-21,71000,40000,92000
Mar,72000,48000,89000
May,78000,51000,97000
Jul,83000,62000,100000
Sep,88000,72000,107000
