Date,4YO,5YO,3-5YO Avg.
Jan-15,78000,70000,80000
Mar,74000,63000,82000
May,72000,61000,79000
Jul,70000,59000,77000
Sep,69000,58000,74000
Nov,62000,53000,71000
Jan-16,70000,58000,78000
Mar,67000,45000,79000
May,64000,49000,75000
Jul,60000,48000,72000
Sep,59000,51000,70000
Nov,55000,42000,67000
Jan-17,68000,45000,67000
Mar,61000,45000,65000
May,61000,45000,62000
Jul,58000,43000,61000
Sep,54000,42000,59000
Nov,52000,40000,61000
Jan-18,67000,42000,66000
Mar (est.),62000,47000,75000
