Month,4YO,5YO,3-5YO Avg.
Jan-16,72000,57000,67000
Mar,67000,47000,64000
May,65000,51000,61000
Jul,60000,45000,58000
Sep,58000,41000,57000
Nov,54000,42000,56000
Jan-17,68000,52000,64000
Mar,65000,46000,61000
May,64000,45000,60000
Jul,58000,43000,57000
Sep,55000,42000,55000
Nov,53000,40000,54000
Jan-18,66000,47000,63000
Mar,65000,48000,64000
May,66000,49000,65000
Jul,64000,50000,64000
Sep,63000,52000,63000
Nov,62000,51000,62000
Jan-19,72000,52000,65000
Mar,70000,54000,66000
May,72000,52000,67000
Jul,70000,51000,68000
Sep,68000,48000,65000
Nov,66000,46000,63000
Jan-20,60000,44000,60000
Mar,63000,42000,61000
