Month,3YO,4YO,5YO
Jan-19,94000,78000,62000
Mar,85000,70000,58000
May,94000,71000,58000
Jul,82000,68000,56000
Sep,81000,63000,50000
Nov,80000,61000,46000
Jan-20,89000,64000,53000
Mar,84000,58000,44000
May,83000,55000,38000
Jul,73000,53000,38000
Sep,72000,52000,40000
Nov,71000,51000,40000
Jan-21,92000,72000,52000
Mar,90000,70000,54000
May,99000,77000,61000
Jul,101000,82000,66000
Sep,105000,89000,73000
Nov,110000,94000,77000
Jan-22,153000,125000,114000
Mar,166000,140000,116000
May,155000,143000,110000
Jul,157000,137000,108000
Sep,148000,120000,102000
Nov,135000,104000,89000
Jan-23,132000,105000,84000
Mar,114000,87000,70000
May,114000,83000,64000
Jul,108000,80000,61000
Sep,95000,73000,57000
Nov,95000,68000,54000
