Month,4YO,5YO,3-5YO Avg.
Jan-16,69000,54000,72000
Mar,65000,48000,78000
May,63000,43000,80000
Jul,60000,52000,73000
Sep,58000,48000,75000
Nov,55000,41000,79000
Jan-17,66000,46000,64000
Mar,67000,45000,58000
May,66000,45000,59000
Jul,57000,42000,66000
Sep,54000,41000,67000
Nov,52000,40000,64000
Jan-18,65000,47000,68000
Mar,67000,51000,64000
May,65000,50000,64000
Jul,62000,52000,64000
Sep,63000,51000,64000
Nov,62000,51000,75000
Jan-19,71000,61000,95000
Mar,71000,58000,83000
May,70000,57000,83000
Jul,64000,53000,83000
Sep,62000,48000,82000
Nov,62000,47000,80000
Jan-20,67000,46000,67000
Mar,64000,42000,67000
May,52000,40000,61000
