Month,4YO,5YO,3-5YO Avg.
Jan-18,66000,56000,70000
Mar,64000,47000,84000
May,63000,49000,82000
Jul,64000,50000,76000
Sep,63000,52000,80000
Nov,63000,53000,78000
Jan-19,70000,62000,78000
Mar,71000,58000,94000
May,70000,55000,82000
Jul,67000,51000,84000
Sep,63000,47000,79000
Nov,60000,45000,76000
Jan-20,66000,56000,72000
Mar,68000,47000,88000
May,64000,42000,84000
Jul,55000,39000,78000
Sep,53000,38000,73000
Nov,54000,39000,72000
Jan-21,72000,56000,92000
Mar,74000,54000,93000
May,75000,58000,98000
Jul,84000,67000,102000
