Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,58000,73000
Mar,67000,45000,64000
May,63000,50000,61000
Jul,61000,46000,59000
Sep,59000,42000,58000
Nov,57000,42000,57000
Jan-17,68000,53000,64000
Mar,65000,45000,61000
May,60000,43000,59000
Jul,56000,47000,57000
Sep,53000,41000,55000
Nov,52000,41000,54000
Jan-18,66000,50000,64000
Mar,65000,47000,65000
May,64000,50000,64000
Jul,63000,47000,65000
Sep,62000,50000,65000
Nov,63000,52000,65000
Jan-19,72000,60000,67000
Mar,70000,53000,73000
May,69000,48000,71000
Jul,69000,45000,67000
Sep,67000,45000,64000
Nov,56000,42000,59000
