Month,4YO,5YO,3-5YO Avg.
Jan-15,78000,70000,79000
Feb,75000,69000,88000
Mar,72000,62000,83000
Apr,71000,64000,80000
May,72000,64000,79000
Jun,71000,61000,79000
Jul,70000,60000,80000
Aug,70000,60000,81000
Sep,69000,59000,79000
Oct,68000,57000,77000
Nov,67000,56000,75000
Dec,64000,53000,73000
Jan-16,70000,57000,93000
Feb,70000,58000,77000
Mar,67000,46000,81000
Apr,66000,48000,79000
May,65000,47000,79000
Jun,63000,52000,78000
Jul,61000,44000,78000
Aug,59000,46000,77000
Sep,59000,47000,76000
Oct,58000,49000,75000
Nov,57000,45000,74000
Dec,56000,41000,72000
Jan-17,67000,54000,78000
Feb,66000,53000,77000
Mar,64000,45000,78000
Apr,63000,45000,75000
May,62000,46000,75000
Jun,61000,44000,73000
Jul,59000,43000,72000
Aug,57000,44000,70000
Sep,56000,43000,69000
Oct,54000,43000,68000
Nov,52000,40000,65000
Dec,50000,41000,65000
Jan-18,71000,56000,91000
Feb (est.),68000,50000,89000
