Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,58000,73000
Feb,68000,52000,72000
Mar,66000,48000,65000
Apr,65000,45000,64000
May,63000,51000,63000
Jun,62000,44000,61000
Jul,60000,45000,60000
Aug,59000,47000,60000
Sep,57000,48000,59000
Oct,56000,45000,58000
Nov,55000,43000,57000
Dec,54000,41000,56000
Jan-17,68000,52000,78000
Feb,67000,46000,77000
Mar,66000,45000,74000
Apr,64000,46000,72000
May,63000,45000,64000
Jun,61000,45000,62000
Jul,58000,46000,61000
Aug,56000,45000,59000
Sep,55000,45000,58000
Oct,53000,42000,57000
Nov,52000,40000,56000
Dec,51000,40000,55000
Jan-18,67000,56000,92000
Feb,66000,47000,82000
Mar,65000,47000,76000
Apr,64000,46000,77000
May,64000,48000,81000
Jun,64000,49000,82000
Jul,64000,48000,78000
Aug (est.),64000,48000,78000
