Month,3YO,4YO,5YO,3-5YO Avg.
Jan-19,95000,78000,62000,78000
Mar,83000,70000,58000,73000
May,94000,72000,57000,74000
Jul,88000,70000,53000,71000
Sep,84000,68000,48000,68000
Nov,75000,60000,44000,60000
Jan-20,90000,67000,50000,67000
Mar,85000,63000,43000,64000
May,84000,58000,39000,56000
Jul,78000,56000,39000,54000
Sep,74000,54000,39000,53000
Nov,74000,54000,40000,53000
Jan-21,92000,72000,50000,72000
Mar,94000,75000,53000,73000
May,96000,78000,58000,77000
Jul,103000,85000,65000,85000
Sep,114000,95000,73000,95000
Nov,120000,98000,78000,98000
Jan-22,135000,125000,110000,125000
Mar,166000,140000,115000,140000
May,148000,135000,105000,128000
Jul,143000,115000,95000,115000
Sep,138000,112000,85000,110000
Nov,115000,103000,78000,100000
