Month,3YO,4YO,5YO,3-5YO Avg.
Jan-19,94000,78000,62000,78000
Mar,82000,72000,58000,70000
May,92000,72000,58000,68000
Jul,84000,70000,54000,65000
Sep,80000,64000,48000,63000
Nov,78000,58000,46000,60000
Jan-20,89000,68000,52000,68000
Mar,84000,64000,44000,64000
May,84000,58000,42000,59000
Jul,72000,54000,38000,55000
Sep,70000,52000,38000,53000
Nov,72000,52000,40000,52000
Jan-21,92000,72000,52000,72000
Mar,92000,72000,56000,72000
May,98000,76000,60000,76000
Jul,100000,80000,64000,80000
Sep,102000,86000,68000,85000
Nov,112000,92000,74000,90000
Jan-22,120000,98000,80000,98000
Mar,142000,130000,112000,132000
May,164000,140000,114000,142000
Jul,140000,114000,92000,114000
