Month,3YO,4YO,5YO
Jan-19,95000,78000,62000
Mar,88000,70000,58000
May,92000,66000,57000
Jul,80000,63000,51000
Sep,81000,60000,47000
Nov,78000,58000,45000
Jan-20,89000,64000,52000
Mar,85000,56000,44000
May,77000,53000,39000
Jul,70000,51000,38000
Sep,72000,51000,40000
Nov,73000,51000,39000
Jan-21,91000,72000,50000
Mar,90000,73000,58000
May,93000,78000,62000
Jul,96000,82000,67000
Sep,100000,85000,70000
Nov,110000,88000,76000
Jan-22,120000,98000,82000
Mar,155000,138000,115000
May,165000,140000,117000
Jul,155000,135000,112000
Sep,145000,130000,105000
Nov,135000,115000,98000
Jan-23,130000,105000,90000
Mar,115000,95000,78000
May,110000,88000,70000
Jul,105000,83000,65000
Sep,110000,80000,60000
Nov,105000,78000,57000
Jan-24,103000,72000,41000
