Month,3YO,4YO,5YO
Jan-19,95000,78000,62000
Mar,88000,70000,59000
May,94000,69000,58000
Jul,86000,68000,55000
Sep,82000,63000,52000
Nov,73000,58000,45000
Jan-20,90000,64000,43000
Mar,84000,55000,42000
May,76000,52000,39000
Jul,70000,50000,38000
Sep,72000,52000,39000
Nov,72000,52000,42000
Jan-21,93000,72000,50000
Mar,91000,72000,52000
May,100000,78000,58000
Jul,103000,83000,62000
Sep,100000,88000,67000
Nov,110000,92000,75000
Jan-22,140000,125000,115000
Mar,165000,140000,115000
May,158000,143000,112000
Jul,148000,135000,108000
Sep,140000,128000,100000
Nov,135000,118000,92000
Jan-23,130000,105000,73000
Mar,113000,100000,70000
May,113000,83000,68000
