Month,3YO,4YO,5YO
Jan-19,95000,78000,62000
Mar,87000,71000,58000
May,93000,68000,56000
Jul,84000,63000,52000
Sep,79000,59000,47000
Nov,77000,57000,45000
Jan-20,89000,64000,44000
Mar,83000,58000,42000
May,77000,54000,43000
Jul,72000,52000,38000
Sep,72000,51000,38000
Nov,73000,50000,38000
Jan-21,88000,63000,50000
Mar,92000,71000,55000
May,98000,76000,62000
Jul,99000,80000,70000
Sep,104000,85000,73000
Nov,110000,91000,75000
Jan-22,124000,97000,77000
Mar,145000,125000,95000
May,166000,142000,115000
Jul,155000,136000,110000
Sep,144000,126000,102000
Nov,134000,116000,94000
Jan-23,133000,104000,87000
Mar,117000,102000,77000
May,113000,95000,72000
Jul,115000,87000,69000
Sep,112000,82000,65000
Nov,107000,78000,59000
Jan-24,118000,78000,55000
Mar,96000,70000,56000
