Month,4YO,5YO,3-5YO Avg.
Jan-16,71000,57000,82000
Feb,68000,53000,77000
Mar,65000,50000,79000
Apr,63000,43000,81000
May,62000,43000,80000
Jun,61000,48000,78000
Jul,60000,43000,74000
Aug,59000,43000,71000
Sep,57000,41000,68000
Oct,56000,41000,67000
Nov,55000,40000,66000
Dec,55000,41000,67000
Jan-17,68000,52000,78000
Feb,67000,48000,80000
Mar,63000,46000,82000
Apr,61000,44000,81000
May,60000,44000,78000
Jun,61000,45000,75000
Jul,60000,43000,73000
Aug,58000,42000,71000
Sep,55000,40000,71000
Oct,53000,40000,71000
Nov,52000,40000,70000
Dec,51000,41000,65000
Jan-18,66000,46000,90000
Feb,65000,46000,86000
Mar,67000,47000,82000
Apr,66000,47000,79000
May,65000,47000,83000
Jun,66000,49000,81000
Jul,64000,50000,83000
Aug,63000,50000,80000
Sep,62000,51000,78000
Oct,62000,50000,80000
Nov,62000,52000,79000
Dec,62000,53000,78000
Jan-19,78000,62000,94000
