Month,3YO,4YO,5YO
Jan-19,94000,78000,62000
Mar,88000,70000,58000
May,94000,70000,57000
Jul,88000,65000,52000
Sep,82000,62000,49000
Nov,79000,60000,45000
Jan-20,89000,65000,43000
Mar,83000,58000,40000
May,76000,54000,38000
Jul,73000,53000,38000
Sep,72000,52000,38000
Nov,72000,51000,39000
Jan-21,90000,63000,51000
Mar,91000,72000,54000
May,93000,75000,60000
Jul,95000,80000,65000
Sep,100000,85000,70000
Nov,110000,90000,75000
Jan-22,145000,120000,115000
Mar,165000,140000,117000
May,158000,143000,112000
Jul,148000,135000,105000
Sep,135000,120000,95000
Nov,120000,105000,80000
Jan-23,135000,105000,75000
Mar,120000,95000,70000
May,105000,85000,65000
Jul,95000,75000,58000
Sep,92000,70000,55000
Nov,88000,65000,52000
Jan-24,115000,78000,63000
