Month,4YO,5YO,3-5YO Avg.
Jan-19,78000,61000,78000
Feb,72000,59000,73000
Mar,69000,58000,72000
Apr,70000,56000,71000
May,71000,57000,72000
Jun,68000,55000,70000
Jul,67000,53000,69000
Aug,65000,52000,67000
Sep,63000,50000,65000
Oct,61000,48000,63000
Nov,60000,47000,62000
Dec,59000,43000,61000
Jan-20,67000,42000,67000
Feb,65000,43000,65000
Mar,63000,41000,63000
Apr,61000,39000,62000
May,58000,38000,59000
Jun,56000,38000,57000
Jul,55000,39000,56000
Aug,54000,40000,55000
Sep,53000,39000,54000
Oct,53000,39000,54000
Nov,52000,38000,53000
Dec,52000,39000,53000
Jan-21,74000,52000,74000
Feb,72000,52000,74000
Mar,74000,55000,76000
Apr,77000,57000,78000
May,79000,59000,80000
Jun,80000,61000,82000
Jul,81000,63000,84000
Aug,83000,66000,85000
Sep,85000,68000,87000
Oct,87000,71000,89000
Nov,95000,76000,96000
Dec,98000,78000,99000
