Month,3YO,4YO,5YO,3-5YO Avg.
Jan-19,94000,77000,62000,76000
Mar,88000,71000,59000,73000
May,94000,70000,57000,73000
Jul,88000,66000,51000,67000
Sep,81000,62000,48000,64000
Nov,79000,59000,44000,60000
Jan-20,89000,66000,50000,67000
Mar,89000,67000,41000,66000
May,85000,60000,39000,61000
Jul,73000,53000,39000,54000
Sep,71000,52000,40000,54000
Nov,76000,55000,40000,56000
Jan-21,91000,72000,51000,71000
Mar,93000,72000,50000,72000
May,97000,75000,52000,75000
Jul,105000,80000,63000,82000
Sep,113000,88000,72000,89000
Nov,121000,94000,78000,96000
Jan-22,151000,125000,112000,124000
Mar,167000,139000,116000,141000
May,157000,133000,112000,132000
Jul,146000,117000,102000,119000
Sep,140000,113000,95000,114000
Nov,115000,97000,76000,100000
