Month,4YO,5YO,3-5YO Avg.
Jan-15,"78,000","70,000","76,000"
Mar,"73,000","62,000","73,000"
May,"70,000","64,000","72,000"
Jul,"71,000","62,000","70,000"
Sep,"72,000","60,000","69,000"
Nov,"72,000","58,000","67,000"
Jan-16,"72,000","53,000","63,000"
Mar,"66,000","58,000","64,000"
May,"66,000","45,000","63,000"
Jul,"64,000","43,000","61,000"
Sep,"60,000","48,000","59,000"
Nov,"59,000","47,000","57,000"
Jan-17,"59,000","41,000","54,000"
Mar,"66,000","45,000","62,000"
May,"62,000","45,000","60,000"
Jul,"62,000","42,000","59,000"
Sep,"56,000","43,000","57,000"
Nov,"52,000","41,000","55,000"
Jan-18,"50,000","41,000","65,000"
Mar,"65,000","47,000","67,000"
May,"66,000","48,000","62,000"
