Month,4YO,5YO,3-5YO Avg.
Jan-16,69000,57000,72000
Mar,66000,45000,65000
May,63000,51000,62000
Jul,61000,47000,60000
Sep,58000,44000,58000
Nov,55000,41000,56000
Jan-17,67000,53000,66000
Mar,66000,45000,63000
May,60000,45000,60000
Jul,58000,44000,59000
Sep,55000,42000,56000
Nov,52000,39000,54000
Jan-18,64000,56000,65000
Mar,64000,47000,64000
May,65000,48000,64000
Jul,64000,48000,64000
Sep,63000,49000,63000
Nov,62000,47000,63000
Jan-19,71000,59000,71000
Mar,69000,51000,70000
May,70000,52000,69000
Jul,69000,50000,68000
Sep,67000,47000,67000
Nov,58000,45000,60000
