Date,3YO,4YO,5YO
Jan-19,96000,78000,61000
Mar,81000,69000,59000
May,93000,71000,58000
Jul,86000,68000,55000
Sep,83000,63000,51000
Nov,80000,57000,46000
Jan-20,90000,63000,44000
Mar,83000,60000,42000
May,85000,55000,40000
Jul,72000,51000,39000
Sep,70000,51000,37000
Nov,73000,52000,39000
Jan-21,91000,71000,50000
Mar,93000,71000,52000
May,90000,72000,55000
Jul,94000,77000,60000
Sep,107000,87000,72000
Nov,120000,97000,81000
Jan-22,122000,124000,112000
Mar,166000,138000,115000
May,157000,142000,115000
Jul,148000,137000,112000
Sep,140000,125000,105000
Nov,130000,112000,102000
Jan-23,133000,104000,84000
Mar,118000,102000,72000
May,112000,84000,66000
