Month,3YO,4YO,5YO,3-5YO Avg.
Jan-19,94000,78000,60000,77000
Feb,83000,70000,58000,71000
Mar,86000,70000,56000,71000
Apr,94000,72000,54000,72000
May,91000,71000,52000,71000
Jun,85000,69000,50000,68000
Jul,82000,66000,48000,66000
Aug,80000,64000,46000,64000
Sep,78000,62000,44000,62000
Oct,76000,60000,42000,60000
Nov,74000,58000,42000,58000
Dec,72000,57000,42000,57000
Jan-20,90000,67000,45000,67000
Feb,86000,64000,43000,65000
Mar,84000,62000,42000,63000
Apr,80000,59000,40000,60000
May,78000,57000,38000,58000
Jun,76000,55000,38000,56000
Jul,74000,54000,38000,55000
Aug,72000,53000,38000,54000
Sep,72000,52000,38000,53000
Oct,72000,52000,38000,53000
Nov,72000,52000,39000,53000
Dec,72000,52000,39000,53000
Jan-21,93000,72000,50000,72000
Feb,95000,73000,52000,73000
Mar,98000,74000,54000,74000
Apr,99000,75000,56000,75000
May,100000,76000,60000,77000
Jun,101000,77000,63000,79000
Jul,103000,78000,66000,81000
Aug,104000,79000,69000,83000
Sep,106000,81000,72000,85000
Oct,108000,83000,75000,87000
Nov,109000,85000,77000,89000
Dec,110000,87000,79000,91000
Jan-22,120000,98000,82000,100000
Feb,150000,135000,115000,130000
Mar,160000,140000,118000,135000
