Month,4YO,5YO,3-5YO Avg.
Jan-18,66000,56000,70000
Feb,64000,50000,85000
Mar,62000,49000,77000
Apr,65000,48000,77000
May,67000,49000,82000
Jun,65000,50000,80000
Jul,64000,50000,79000
Aug,65000,52000,80000
Sep,63000,51000,80000
Oct,62000,52000,81000
Nov,61000,53000,63000
Dec,62000,49000,62000
Jan-19,78000,62000,78000
Feb,72000,60000,95000
Mar,70000,59000,93000
Apr,71000,57000,87000
May,72000,55000,85000
Jun,70000,53000,84000
Jul,69000,51000,83000
Aug,68000,50000,82000
Sep,67000,49000,80000
Oct,65000,47000,60000
Nov,62000,46000,60000
Dec,59000,42000,59000
Jan-20,64000,45000,65000
Feb,66000,45000,90000
Mar,64000,42000,89000
Apr,61000,43000,85000
May,62000,38000,79000
Jun,55000,38000,67000
Jul,53000,39000,66000
Aug,55000,39000,74000
Sep,54000,40000,75000
Oct,53000,41000,74000
Nov,51000,40000,72000
Dec,54000,40000,72000
Jan-21,73000,57000,94000
Feb,73000,55000,93000
