Month,4YO,5YO,3-5YO Avg.
Jan-18,66000,55000,66000
Feb,64000,55000,64000
Mar,67000,50000,65000
Apr,67000,50000,64000
May,65000,51000,64000
Jun,63000,51000,63000
Jul,63000,51000,63000
Aug,63000,50000,63000
Sep,62000,50000,63000
Oct,62000,52000,64000
Nov,63000,49000,64000
Dec,64000,53000,65000
Jan-19,78000,62000,77000
Feb,74000,59000,73000
Mar,70000,58000,70000
Apr,69000,57000,70000
May,68000,56000,69000
Jun,68000,55000,69000
Jul,68000,54000,68000
Aug,67000,53000,67000
Sep,66000,51000,66000
Oct,65000,49000,65000
Nov,63000,46000,63000
Dec,61000,43000,62000
Jan-20,64000,50000,64000
Feb,64000,48000,65000
Mar,63000,43000,64000
Apr,62000,40000,63000
May,63000,38000,63000
Jun,63000,38000,64000
Jul,62000,38000,64000
Aug,58000,38000,62000
Sep,54000,39000,56000
Oct,52000,40000,54000
Nov,52000,39000,54000
Dec,52000,39000,55000
Jan-21,50000,40000,55000
