Month,4YO,5YO,3-5YO Avg.
Jan-16,69000,58000,73000
Mar,66000,45000,68000
May,63000,51000,64000
Jul,60000,47000,60000
Sep,59000,42000,59000
Nov,56000,43000,57000
Jan-17,68000,52000,67000
Mar,67000,45000,66000
May,62000,44000,63000
Jul,61000,45000,61000
Sep,57000,42000,58000
Nov,56000,41000,57000
Jan-18,65000,53000,66000
Mar,65000,47000,65000
May,66000,48000,65000
Jul,66000,51000,65000
Sep,64000,49000,63000
Nov,62000,52000,62000
Jan-19,70000,52000,71000
Mar,70000,61000,71000
May,70000,59000,70000
Jul,68000,56000,68000
Sep,68000,53000,67000
Nov,64000,46000,62000
Jan-20,64000,41000,67000
