Date,3YO,4YO,5YO
Jan-19,94000,78000,61000
Mar,83000,69000,59000
May,94000,70000,57000
Jul,86000,65000,52000
Sep,83000,62000,48000
Nov,74000,58000,44000
Jan-20,89000,64000,42000
Mar,83000,57000,39000
May,76000,52000,38000
Jul,72000,52000,39000
Sep,72000,51000,40000
Nov,71000,52000,40000
Jan-21,93000,72000,51000
Mar,92000,73000,55000
May,98000,78000,61000
Jul,101000,82000,65000
Sep,106000,88000,71000
Nov,118000,95000,76000
Jan-22,120000,98000,77000
Mar,155000,136000,115000
May,167000,141000,117000
Jul,155000,134000,112000
Sep,144000,124000,102000
Nov,137000,115000,93000
Jan-23,128000,103000,83000
