Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,57000,78000
Mar,67000,45000,81000
May,64000,47000,75000
Jul,61000,45000,76000
Sep,59000,55000,78000
Nov,58000,52000,73000
Jan-17,55000,40000,68000
Mar,68000,45000,76000
May,62000,46000,79000
Jul,60000,44000,72000
Sep,58000,47000,70000
Nov,55000,42000,65000
Jan-18,65000,55000,90000
Mar,65000,48000,80000
May,65000,47000,83000
Jul,62000,49000,77000
Sep,64000,50000,74000
Nov,62000,52000,65000
Jan-19,72000,62000,95000
Mar,70000,50000,83000
May,72000,50000,93000
Jul,70000,48000,85000
Sep,68000,44000,82000
Nov,65000,42000,74000
Jan-20,60000,50000,73000
Mar,68000,42000,86000
