Month,4YO,5YO,3-5YO Avg.
Jan-18,68000,55000,67000
Mar,64000,50000,64000
May,64000,50000,64000
Jul,64000,52000,65000
Sep,62000,52000,64000
Nov,62000,50000,64000
Jan-19,75000,52000,77000
Mar,72000,57000,70000
May,70000,57000,69000
Jul,68000,54000,67000
Sep,63000,48000,63000
Nov,60000,46000,61000
Jan-20,65000,52000,67000
Mar,63000,45000,63000
May,58000,40000,58000
Jul,55000,38000,55000
Sep,53000,38000,55000
Nov,52000,38000,54000
Jan-21,71000,50000,72000
Mar,70000,50000,72000
May,75000,56000,93000
Jul,80000,63000,98000
