Month,4YO Slpr,4YO Dycb,5YO Slpr,5YO Dycb,6YO Slpr,6YO Dycb
Jan-22,122000,101000,108000,76000,77000,55000
Feb,132000,102000,114000,80000,82000,58000
Mar,138000,118000,117000,90000,89000,70000
Apr,138000,118000,117000,90000,91000,66000
May,140000,119000,117000,95000,93000,66000
Jun,113000,113000,105000,97000,88000,66000
Jul,111000,102000,102000,90000,77000,64000
Aug,102000,94000,97000,80000,77000,63000
Sep,101000,92000,93000,74000,73000,62000
Oct,100000,90000,90000,72000,70000,62000
Nov,98000,82000,84000,68000,67000,57000
Dec,89000,82000,75000,62000,60000,50000
Jan-23,105000,101000,83000,77000,66000,66000
Feb,95000,94000,83000,73000,68000,67000
Mar,86000,85000,72000,71000,65000,65000
